id,category,register,cmi,n_english_tokens,n_tamil_tokens,n_total_tokens,formal_verb_count,tamil_noun_count,formal_pronoun_count,formal_polite_count,formal_compound_count,issues,needs_fix
0,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
1,card_arrival,COLLOQUIAL,18.18,2,9,11,0,0,0,0,0,,False
2,card_arrival,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
3,card_arrival,COLLOQUIAL,33.33,3,6,9,0,0,0,0,0,,False
4,card_arrival,COLLOQUIAL,9.09,1,10,11,0,0,0,0,0,,False
5,card_arrival,MIXED,0.0,0,5,5,0,0,0,0,0,,True
6,card_arrival,COLLOQUIAL,42.86,3,4,7,0,0,0,0,0,,False
7,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
8,card_arrival,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
9,card_arrival,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
10,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
11,card_arrival,COLLOQUIAL,11.11,1,8,9,0,0,0,0,0,,False
12,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
13,card_arrival,COLLOQUIAL,25.0,2,6,8,0,0,0,0,0,,False
14,card_arrival,COLLOQUIAL,21.43,3,11,14,0,0,0,0,0,,False
15,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
16,card_arrival,COLLOQUIAL,11.11,1,8,9,0,0,0,0,0,,False
17,card_arrival,COLLOQUIAL,11.11,1,8,9,0,0,0,0,0,,False
18,card_arrival,COLLOQUIAL,20.0,2,8,10,0,0,0,0,0,,False
19,card_arrival,COLLOQUIAL,12.5,2,14,16,0,0,0,0,0,,False
20,card_arrival,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
21,card_arrival,COLLOQUIAL,40.0,3,2,5,0,0,0,0,0,,False
22,card_arrival,MIXED,0.0,0,3,3,0,0,0,0,0,,True
23,card_arrival,COLLOQUIAL,25.0,1,3,4,0,0,0,0,0,,False
24,card_arrival,COLLOQUIAL,25.0,1,3,4,0,0,0,0,0,,False
25,card_arrival,MIXED,0.0,0,11,11,0,0,0,0,0,,True
26,card_arrival,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
27,card_arrival,MIXED,0.0,0,6,6,0,0,0,0,0,,True
28,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
29,card_arrival,COLLOQUIAL,28.57,2,5,7,0,0,0,0,0,,False
30,card_arrival,COLLOQUIAL,25.0,2,6,8,0,0,0,0,0,,False
31,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
32,card_arrival,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
33,card_arrival,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
34,card_arrival,COLLOQUIAL,25.0,2,6,8,0,0,0,0,0,,False
35,card_arrival,COLLOQUIAL,42.86,3,4,7,0,0,0,0,0,,False
36,card_arrival,COLLOQUIAL,25.0,2,6,8,0,0,0,0,0,,False
37,card_arrival,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
38,card_arrival,COLLOQUIAL,11.11,1,8,9,0,0,0,0,0,,False
39,card_arrival,COLLOQUIAL,40.0,2,3,5,0,0,0,0,0,,False
40,card_arrival,COLLOQUIAL,20.0,2,8,10,0,0,0,0,0,,False
41,card_arrival,COLLOQUIAL,28.57,2,5,7,0,0,0,0,0,,False
42,card_arrival,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
