Model,Language,Train_Mode,Test_Samples,Accuracy_Pct,Macro_F1_Pct,Weighted_F1_Pct,Macro_Precision_Pct,Macro_Recall_Pct,Training_Duration_Sec,Python_Version,Scikit_Learn_Version,Pandas_Version,NumPy_Version
Logistic Regression,english,Monolingual / Monoscript,3079,90.48,90.48,90.47,90.86,90.49,10.1,3.13.7,1.9.0,3.0.3,2.5.1
Logistic Regression,sinhala,Monolingual / Monoscript,3079,83.63,83.08,83.08,85.32,83.63,6.93,3.13.7,1.9.0,3.0.3,2.5.1
Logistic Regression,singlish,Monolingual / Monoscript,3079,86.2,86.07,86.07,87.25,86.2,8.83,3.13.7,1.9.0,3.0.3,2.5.1
Logistic Regression,tamil,Monolingual / Monoscript,3079,85.0,84.22,84.22,86.44,85.0,10.7,3.13.7,1.9.0,3.0.3,2.5.1
Logistic Regression,tamilish,Monolingual / Monoscript,3079,60.54,59.05,59.05,67.46,60.55,13.35,3.13.7,1.9.0,3.0.3,2.5.1
Logistic Regression,all,Combined (All Scripts),15395,82.1,82.16,82.15,83.41,82.11,58.34,3.13.7,1.9.0,3.0.3,2.5.1
Linear SVM,english,Monolingual / Monoscript,3079,90.97,90.98,90.98,91.24,90.97,6.22,3.13.7,1.9.0,3.0.3,2.5.1
Linear SVM,sinhala,Monolingual / Monoscript,3079,83.6,82.75,82.74,85.98,83.6,6.27,3.13.7,1.9.0,3.0.3,2.5.1
Linear SVM,singlish,Monolingual / Monoscript,3079,86.55,86.49,86.48,87.3,86.56,6.87,3.13.7,1.9.0,3.0.3,2.5.1
Linear SVM,tamil,Monolingual / Monoscript,3079,86.85,86.35,86.34,87.96,86.85,10.0,3.13.7,1.9.0,3.0.3,2.5.1
Linear SVM,tamilish,Monolingual / Monoscript,3079,62.23,61.05,61.04,68.7,62.24,8.03,3.13.7,1.9.0,3.0.3,2.5.1
Linear SVM,all,Combined (All Scripts),15395,83.14,83.18,83.18,84.19,83.15,53.12,3.13.7,1.9.0,3.0.3,2.5.1
