Language,Model,Macro_F1_Mean_Pct,CI_95_Lower_Pct,CI_95_Upper_Pct,Bootstrap_Resamples
english,Logistic Regression,90.34,89.31,91.4,1000
sinhala,Logistic Regression,82.92,81.71,84.19,1000
singlish,Logistic Regression,85.92,84.83,87.08,1000
tamil,Logistic Regression,84.05,82.86,85.22,1000
tamilish,Logistic Regression,58.76,57.23,60.26,1000
all,Logistic Regression,82.13,81.54,82.69,1000
english,Linear SVM,90.89,89.84,91.91,1000
sinhala,Linear SVM,82.6,81.37,83.85,1000
singlish,Linear SVM,86.32,85.17,87.52,1000
tamil,Linear SVM,86.22,85.15,87.37,1000
tamilish,Linear SVM,60.81,59.39,62.36,1000
all,Linear SVM,83.14,82.55,83.72,1000
