category,count,mean_cmi,min_cmi,max_cmi,pct_cmi_0,pct_cmi_1_10,pct_cmi_11_25,pct_cmi_gt_25
Refund_not_showing_up,202,16.9,0.0,50.0,8.9,20.3,53.0,17.8
activate_my_card,199,18.1,0.0,50.0,8.0,6.5,68.8,16.6
age_limit,150,11.1,0.0,50.0,38.0,5.3,48.7,8.0
apple_pay_or_google_pay,166,16.5,0.0,50.0,27.7,4.8,42.8,24.7
atm_support,125,11.2,0.0,50.0,44.8,0.8,44.8,9.6
automatic_top_up,167,12.3,0.0,50.0,37.7,10.8,40.1,11.4
balance_not_updated_after_bank_transfer,211,23.0,0.0,50.0,5.7,2.8,57.3,34.1
balance_not_updated_after_cheque_or_cash_deposit,221,11.8,0.0,42.9,23.1,23.1,47.1,6.8
beneficiary_not_allowed,196,15.1,0.0,50.0,16.8,10.7,61.2,11.2
cancel_transfer,197,12.7,0.0,50.0,38.6,12.2,30.5,18.8
card_about_to_expire,169,15.5,0.0,45.5,11.8,12.4,65.7,10.1
card_acceptance,99,8.5,0.0,45.5,54.5,0.0,40.4,5.1
card_arrival,193,16.3,0.0,50.0,12.4,16.1,55.4,16.1
card_delivery_estimate,152,15.6,0.0,50.0,17.8,3.9,65.8,12.5
card_linking,179,10.5,0.0,36.4,36.3,11.7,48.0,3.9
card_not_working,151,15.9,0.0,50.0,15.2,5.3,70.2,9.3
card_payment_fee_charged,227,29.7,0.0,50.0,2.2,1.8,33.0,63.0
card_payment_not_recognised,208,16.3,0.0,40.0,13.0,13.9,57.2,15.9
card_payment_wrong_exchange_rate,207,21.3,0.0,50.0,12.1,6.8,43.0,38.2
card_swallowed,101,14.8,0.0,40.0,15.8,12.9,65.3,5.9
cash_withdrawal_charge,217,26.5,0.0,50.0,2.3,3.7,42.4,51.6
cash_withdrawal_not_recognised,200,17.8,0.0,40.0,6.0,7.5,72.0,14.5
change_pin,161,8.1,0.0,36.8,50.9,6.8,37.3,5.0
compromised_card,126,13.4,0.0,40.0,21.4,17.5,53.2,7.9
contactless_not_working,75,7.2,0.0,37.5,54.7,14.7,25.3,5.3
country_support,169,13.8,0.0,50.0,30.8,4.7,49.1,15.4
