model,language,fertility,mean_tokens,p99_tokens,unk_pct
mbert,english,1.256,15.1,53,0.003
mbert,sinhala,1.229,12.2,39,61.348
mbert,singlish,2.032,20.3,66,0.0
mbert,tamil,3.518,32.3,109,0.0
mbert,tamilish,2.309,22.6,79,0.0
xlmr-base,english,1.249,15.0,53,0.0
xlmr-base,sinhala,1.453,14.4,47,0.0
xlmr-base,singlish,1.944,19.4,63,0.0
xlmr-base,tamil,2.163,19.7,65,0.0
xlmr-base,tamilish,2.145,21.0,71,0.0
xlmr-large,english,1.249,15.0,53,0.0
xlmr-large,sinhala,1.453,14.4,47,0.0
xlmr-large,singlish,1.944,19.4,63,0.0
xlmr-large,tamil,2.163,19.7,65,0.0
xlmr-large,tamilish,2.145,21.0,71,0.0
mmbert,english,1.18,14.3,50,0.0
mmbert,sinhala,3.67,37.2,123,0.0
mmbert,singlish,1.855,18.6,61,0.0
mmbert,tamil,3.724,34.5,120,0.0
mmbert,tamilish,2.197,21.6,75,0.0
twhin-bert,english,1.249,15.0,53,0.0
twhin-bert,sinhala,1.453,14.4,47,0.0
twhin-bert,singlish,1.944,19.4,63,0.0
twhin-bert,tamil,2.163,19.7,65,0.0
twhin-bert,tamilish,2.145,21.0,71,0.0
indicbert,english,1.181,14.2,50,0.0
indicbert,sinhala,3.606,36.5,121,0.592
indicbert,singlish,1.872,18.8,62,0.0
indicbert,tamil,1.571,14.4,48,0.0
indicbert,tamilish,2.02,19.8,69,0.0
muril,english,1.202,14.5,50,0.0
muril,sinhala,1.176,11.7,37,64.528
muril,singlish,1.802,18.0,59,0.0
muril,tamil,1.707,15.6,52,0.0
muril,tamilish,2.106,20.5,70,0.0
