C,headline,accuracy,macro_f1,fit_seconds,task,model
0.001,0.4047287899860918,0.8857142857142857,0.670759019125375,0.3,sentiment,labse
0.01,0.4447852760736196,0.9033377837116154,0.6959229100461692,0.5,sentiment,labse
0.1,0.4560530679933665,0.9124165554072096,0.7042135530180278,0.9,sentiment,labse
1.0,0.45631891433418154,0.9144192256341789,0.7049365023087472,1.4,sentiment,labse
10.0,0.452991452991453,0.9145527369826435,0.703324111723822,1.6,sentiment,labse
0.001,0.8066566881698508,0.8331108144192256,0.8066566881698508,0.6,priority,labse
0.01,0.8266189202425528,0.8492656875834446,0.8266189202425528,1.1,priority,labse
0.1,0.8294844488321115,0.8515353805073431,0.8294844488321115,2.0,priority,labse
1.0,0.8247458584900804,0.8492656875834446,0.8247458584900804,3.8,priority,labse
10.0,0.8242807290830867,0.8485981308411215,0.8242807290830867,3.9,priority,labse
0.001,0.8502756600488485,0.8493991989319092,0.8502756600488485,1.9,intent,labse
0.01,0.878739479130666,0.8797062750333778,0.878739479130666,2.5,intent,labse
0.1,0.8756129357897213,0.8767690253671562,0.8756129357897213,2.6,intent,labse
1.0,0.8613806381511333,0.8626168224299066,0.8613806381511333,3.0,intent,labse
10.0,0.8490218648055615,0.8492656875834446,0.8490218648055615,2.4,intent,labse
