id,split,sentiment,priority
0,train,Neutral,Low
1,train,Neutral,Low
2,train,Neutral,Low
3,train,Neutral,Low
4,train,Neutral,Low
5,train,Neutral,Low
6,train,Neutral,Low
7,train,Neutral,Low
8,train,Neutral,Low
9,train,Neutral,Low
10,train,Neutral,Low
11,train,Neutral,Low
12,train,Neutral,Low
13,train,Neutral,Low
14,train,Neutral,Low
15,train,Neutral,Low
16,train,Neutral,Low
17,train,Neutral,Low
18,train,Neutral,Low
19,train,Neutral,Low
20,train,Neutral,Low
21,train,Neutral,Low
22,train,Neutral,Low
23,train,Neutral,Low
24,train,Neutral,Low
25,train,Neutral,Low
26,train,Neutral,Low
27,train,Neutral,Low
28,train,Neutral,Low
29,train,Neutral,Low
30,train,Neutral,Low
31,train,Neutral,Low
32,train,Neutral,Low
33,train,Neutral,Low
34,train,Neutral,Low
35,train,Neutral,Low
36,train,Neutral,Low
37,train,Neutral,Low
38,train,Negative,Low
39,train,Neutral,Low
40,train,Neutral,Low
41,train,Neutral,Low
42,train,Neutral,Low
43,train,Neutral,Low
44,train,Neutral,Low
45,train,Neutral,Low
46,train,Neutral,Low
47,train,Neutral,Low
48,train,Neutral,Low
49,train,Neutral,Low
50,train,Neutral,Low
51,train,Neutral,Low
52,train,Neutral,Low
53,train,Neutral,Low
54,train,Neutral,Low
55,train,Neutral,Low
56,train,Neutral,Low
57,train,Neutral,Low
58,train,Neutral,Low
59,train,Neutral,Low
60,train,Neutral,Low
61,train,Neutral,Low
62,train,Neutral,Low
63,train,Neutral,Low
64,train,Neutral,Low
65,train,Neutral,Low
66,train,Neutral,Low
67,train,Neutral,Low
68,train,Neutral,Low
69,train,Neutral,Low
70,train,Neutral,Low
71,train,Neutral,Low
72,train,Neutral,Low
73,train,Neutral,Low
74,train,Neutral,Low
75,train,Neutral,Low
76,train,Neutral,Low
77,train,Neutral,Low
78,train,Neutral,Low
79,train,Neutral,Low
80,train,Neutral,Low
81,train,Neutral,Low
82,train,Neutral,Low
83,train,Neutral,Low
84,train,Neutral,Low
85,train,Neutral,Low
86,train,Neutral,Low
87,train,Neutral,Low
88,train,Neutral,Low
89,train,Neutral,Low
90,train,Neutral,Low
91,train,Neutral,Low
92,train,Neutral,Low
93,train,Negative,Low
