language,term,z,n_negative,n_neutral
english,someone has,3.706620269551709,19,9
english,really,3.593769353416626,26,26
english,someone,3.5415704055306207,49,105
english,now,3.388477913496577,57,149
english,you keep,3.1071277346101818,9,0
english,and,2.925348576261631,164,900
english,didn do,2.90847628085364,14,10
english,ve,2.8583675992926185,41,108
english,500 000,2.8240787189457195,9,2
english,rs 500,2.8240787189457195,9,2
english,500,2.8240787189457195,9,2
english,times to,2.7678224713289907,10,4
english,over,2.73608909437295,19,26
english,your system,2.6971476324835835,9,3
english,disappeared,2.6585891774668164,12,9
english,are couple,2.631727851590001,8,2
english,keep declining,2.5760058897013227,7,1
english,tried several,2.5369057592470554,6,0
english,this,2.5337126451627543,115,614
english,app that,2.4778016893978747,13,14
english,just,2.4724625729219074,49,177
english,declining,2.472079153892523,9,5
english,keep,2.46309642991936,22,44
english,help,2.433621615957219,60,247
english,declining my,2.380559579856401,8,4
english,official interbank,2.360726902649065,6,1
english,card shown,2.360726902649065,6,1
english,official,2.360726902649065,6,1
english,the official,2.360726902649065,6,1
english,000 cash,2.360726902649065,6,1
english,is really,2.360726902649065,6,1
english,my money,2.340354278120333,39,131
english,myself what,2.3158512652629883,5,0
english,make myself,2.3158512652629883,5,0
english,to manage,2.3158512652629883,5,0
english,manage,2.3158512652629883,5,0
english,that really,2.3158512652629883,5,0
english,has access,2.289601289125992,7,3
english,payments with,2.289601289125992,7,3
english,access to,2.268937697990883,11,12
english,very,2.2520188239539998,13,18
english,that,2.241705493224397,123,735
english,times,2.23551346767966,28,80
english,now it,2.204347658280479,11,13
english,interbank exchange,2.202149187897526,6,2
english,didn,2.1860631866068743,52,222
english,happy,2.1671243370637807,7,4
english,tried,2.162847427329772,44,174
english,didn make,2.1312938284752674,17,35
english,couple payments,2.1247039616569943,5,1
english,shown in,2.1247039616569943,5,1
english,system,2.0910444728345743,12,18
english,ve been,2.082493822643114,14,25
english,not happy,2.0615811002875026,6,3
english,interbank,2.0615811002875026,6,3
english,quite,2.0615811002875026,6,3
english,this is,2.059717774331696,13,22
english,my wallet,2.028880892798903,11,16
english,immediately,2.015895287891026,13,23
english,going on,2.001524142099568,25,77
sinhala,කවුරු හරි,3.8229376074653163,53,110
sinhala,කවුරු,3.8229376074653163,53,110
sinhala,හරි මගේ,3.388941824210392,33,54
sinhala,කරන්නේ නැති,2.9826275328313887,30,58
sinhala,මේක,2.9819693920821866,50,149
sinhala,මම කරන්නේ,2.9680585626368834,28,51
sinhala,දැන්ම,2.932559339640903,24,38
sinhala,wallet එක,2.902515682805274,10,3
sinhala,"rs 500,000",2.84274014810373,9,2
sinhala,"500,000",2.84274014810373,9,2
sinhala,නැති,2.8377366298462334,66,252
sinhala,නිතරම,2.812296341370149,26,49
sinhala,සල්ලි නැති,2.7917789915827855,8,1
sinhala,කීපවතාවක් try,2.7650909406993156,12,8
sinhala,ඇයි නිතරම,2.7545489259490163,7,0
sinhala,හරි,2.75336574009354,79,345
sinhala,ඔයාලගේ system,2.7168136989037537,9,3
sinhala,කරනවා,2.48556305606585,41,137
sinhala,උදව්,2.480914777374964,64,279
sinhala,නොකළ,2.4425562636577967,15,21
sinhala,"500,000 cash",2.442468162186621,7,2
sinhala,මගේ සල්ලි,2.434607628637805,28,73
sinhala,ඇත්තටම,2.434171072436722,24,55
sinhala,interbank exchange,2.3755161203123096,6,1
sinhala,නිල interbank,2.3755161203123096,6,1
sinhala,නිල,2.3755161203123096,6,1
sinhala,ඔයාලා ඇයි,2.3755161203123096,6,1
sinhala,payments manage,2.3279829100024148,5,0
sinhala,manage,2.3279829100024148,5,0
sinhala,manage කරන්න,2.3279829100024148,5,0
sinhala,කළා,2.3236257712549606,104,599
