task,language,features,sklearn-default,regex-unicode,indic-nlp,indic vs sklearn
intent,sinhala,word only,0.9007817130253517,0.9189428326014777,0.9169744240921178,0.01619271106676612
intent,sinhala,word + char_wb,0.9253258214983473,0.9265467891188657,0.9265725975966305,0.0012467760982831644
intent,tamil,word only,0.8100277934130761,0.8651556428720436,0.865795049878114,0.055767256465037884
intent,tamil,word + char_wb,0.9155256643566265,0.9157484027264864,0.9157484027264864,0.00022273836985986506
intent,english,word only,0.8812163908959353,0.8812163908959353,0.8812163908959353,0.0
intent,english,word + char_wb,0.9030881741040153,0.9030881741040153,0.9030881741040153,0.0
priority,sinhala,word only,0.8984320086010237,0.906547335115881,0.9059542153056794,0.007522206704655754
priority,sinhala,word + char_wb,0.9079084238011067,0.9087793331743308,0.9087793331743308,0.0008709093732240936
priority,tamil,word only,0.8522817696626251,0.8888928490493311,0.8888928490493311,0.036611079386705936
priority,tamil,word + char_wb,0.9109182364628964,0.902828137632728,0.902828137632728,-0.008090098830168424
priority,english,word only,0.8875762841274315,0.8875762841274315,0.8875762841274315,0.0
priority,english,word + char_wb,0.8964305267073166,0.8964305267073166,0.8964305267073166,0.0
sentiment,sinhala,word only,0.5172413793103449,0.569620253164557,0.569620253164557,0.05237887385421214
sentiment,sinhala,word + char_wb,0.6394557823129252,0.6351351351351351,0.6394557823129252,0.0
sentiment,tamil,word only,0.5136612021857924,0.525,0.525,0.011338797814207657
sentiment,tamil,word + char_wb,0.6013071895424836,0.625,0.625,0.023692810457516367
sentiment,english,word only,0.5477707006369427,0.5477707006369427,0.5477707006369427,0.0
sentiment,english,word + char_wb,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.0
