# kappa(i) = P(priority=High | intent=i), estimated on train+dev (49990 rows). split=e7b5934392cd label_version=v8
category,kappa,n
card_payment_not_recognised,0.9940476190476191,840
compromised_card,0.9883720930232558,430
terminate_account,0.9814814814814815,540
cash_withdrawal_not_recognised,0.96875,800
lost_or_stolen_card,0.9512195121951219,410
direct_debit_payment_not_recognised,0.9010989010989011,910
lost_or_stolen_phone,0.7933884297520661,605
transfer_not_received_by_recipient,0.14602803738317757,856
cancel_transfer,0.12738853503184713,785
transfer_timing,0.1171875,640
card_delivery_estimate,0.10714285714285714,560
top_up_failed,0.08275862068965517,725
request_refund,0.05917159763313609,845
change_pin,0.05785123966942149,605
reverted_card_payment?,0.037267080745341616,805
pending_top_up,0.03355704697986577,745
failed_transfer,0.021897810218978103,685
pending_transfer,0.02027027027027027,740
passcode_forgotten,0.01904761904761905,525
wrong_amount_of_cash_received,0.016666666666666666,900
card_swallowed,0.01639344262295082,305
top_up_reverted,0.0136986301369863,730
activate_my_card,0.012578616352201259,795
Refund_not_showing_up,0.012345679012345678,810
atm_support,0.011627906976744186,430
balance_not_updated_after_cheque_or_cash_deposit,0.011049723756906077,905
verify_my_identity,0.009615384615384616,520
pin_blocked,0.008771929824561403,570
getting_spare_card,0.007751937984496124,645
declined_transfer,0.007518796992481203,665
pending_cash_withdrawal,0.006993006993006993,715
extra_charge_on_statement,0.006060606060606061,825
balance_not_updated_after_bank_transfer,0.005847953216374269,855
declined_cash_withdrawal,0.005780346820809248,865
transaction_charged_twice,0.005714285714285714,875
cash_withdrawal_charge,0.005649717514124294,885
top_up_by_card_charge,0.0,570
transfer_fee_charged,0.0,860
top_up_by_bank_transfer_charge,0.0,555
top_up_by_cash_or_cheque,0.0,570
receiving_money,0.0,475
supported_cards_and_currencies,0.0,645
unable_to_verify_identity,0.0,510
verify_source_of_funds,0.0,565
verify_top_up,0.0,630
virtual_card_not_working,0.0,205
top_up_limits,0.0,485
topping_up_by_card,0.0,515
visa_or_mastercard,0.0,675
why_verify_identity,0.0,605
transfer_into_account,0.0,565
get_disposable_virtual_card,0.0,485
pending_card_payment,0.0,794
card_payment_wrong_exchange_rate,0.0,835
age_limit,0.0,550
apple_pay_or_google_pay,0.0,630
automatic_top_up,0.0,635
beneficiary_not_allowed,0.0,780
card_about_to_expire,0.0,645
card_acceptance,0.0,295
card_arrival,0.0,765
card_linking,0.0,695
card_not_working,0.0,555
card_payment_fee_charged,0.0,935
contactless_not_working,0.0,175
order_physical_card,0.0,600
country_support,0.0,645
declined_card_payment,0.0,765
disposable_card_limits,0.0,605
edit_personal_details,0.0,605
exchange_charge,0.0,605
exchange_rate,0.0,560
exchange_via_app,0.0,590
fiat_currency_support,0.0,630
get_physical_card,0.0,530
getting_virtual_card,0.0,490
wrong_exchange_rate_for_cash_withdrawal,0.0,815
