# 5 label models x 6 published ordering policies, 200 seeds, beta=2.0. Scored against gold priority. Lower is better throughout.
policy,label_model,rho,lin_cost,conv_cost,rel_tardiness,wait_High,p95_High,worst_High,lang_spread_High,breach_rate,wait_Low,mean_wait,p95_Low,wait_Medium,p95_Medium
fcfs,-,0.85,0.04171675106697169,0.013996853908662961,0.0007311052328729946,5.780450188052457,20.929298214486266,28.807803318914186,4.058834365020629,0.0022400000000000002,5.685794304384547,5.696186439711178,21.29038358041578,5.692546746230157,21.210060088893513
static-tier,marginal,0.85,0.02202140104301764,0.0037991086042424797,0.00022304854598420695,1.527304166448823,5.1477577796393135,25.681493361579356,1.9340903414875248,0.00047,8.436998704942221,5.668601282062867,34.23482990720266,2.532430476560931,11.15279496954566
cmu-hsf,marginal,0.85,0.018813297751780783,0.0027102255036995306,2.742080832320287e-05,1.1076738624310738,4.104054998319218,11.454861234246714,1.009555681101662,0.000125,9.033065579130515,5.6474983172905215,47.0273414523017,1.6790442521835913,6.931033278899212
apq,marginal,0.85,0.025447566025391017,0.003233560068865459,9.375026259274069e-05,1.8951836290529513,5.952992195756593,20.2774462631252,1.6667208585801854,0.00023,7.6994176109047645,5.67254996417337,30.709486315054242,3.574523551432464,12.293538688999442
gcmu,marginal,0.85,0.021543995083261908,0.0023454330656569916,5.096882150992172e-05,1.3199466882108226,4.531698570018216,16.31115607548479,1.3048785562671368,0.00013000000000000002,8.45058841629904,5.676222751419346,35.11557777923568,2.589441261693896,9.052943760665881
edd,marginal,0.85,0.020406497764908743,0.0029840832264564415,0.00016734674089422127,1.3535749109505604,4.425305140640511,22.393436372685418,1.6056439068353796,0.00034,8.771985106252167,5.661457206257831,36.68111460049508,2.0461453018966114,8.031566615514938
static-tier,chain-intent,0.85,0.02222858777772581,0.003926742908267875,0.00022059572414225576,1.5638023774727485,5.4801802827520705,26.25030126216694,2.0918541976474656,0.000495,8.437525273601302,5.682900302036651,34.67847720197594,2.561796932481512,11.19495221387031
cmu-hsf,chain-intent,0.85,0.019380838271832367,0.004284909065339326,0.00019131219322163627,1.198943024619673,4.203509452775,18.254744414040022,1.3803904657145551,0.00024,9.161292518794765,5.740870678128069,47.63306593916527,1.7248176863308873,7.123631150099227
apq,chain-intent,0.85,0.025874230462213682,0.0029791593635703534,3.442594235385747e-05,1.9683206653677054,6.364098709365319,17.016299130002903,1.5538724198410603,8.5e-05,7.6629520963957205,5.688897347381406,31.28163160089359,3.6565436423774735,12.765223415735413
gcmu,chain-intent,0.85,0.021668710026473626,0.0020771563767477785,2.7220642116487054e-05,1.3162282363139624,4.562034415198206,13.279907392978384,1.1950446132548778,8e-05,8.456930832248531,5.695001235897316,38.95520063664364,2.6347233773266088,9.485041080754986
edd,chain-intent,0.85,0.019648085417087596,0.002345334011438284,7.246613682821397e-05,1.2947647025325377,4.606901515184887,18.469622236698896,1.4722837075684412,0.00017,8.982016615310263,5.673111162489216,40.927135362814084,1.7767736037539827,7.196741777389958
static-tier,chain-full,0.85,0.022191190045198664,0.0039052082269749686,0.00021915392551970738,1.5620576193722908,5.423591122811186,26.21768882482892,2.086481211056106,0.000485,8.448422336002126,5.683445988813439,34.691914619872435,2.547023606788691,11.094584454863064
cmu-hsf,chain-full,0.85,0.019254188263842065,0.004161630615739169,0.00017869190886084303,1.1650232616930736,4.089456338167601,16.48785272684572,1.2815533152605854,0.00022500000000000002,9.14620101751309,5.72946456799692,47.282741466215484,1.7250643672974406,7.084895273028139
apq,chain-full,0.85,0.025811809846591652,0.0029532396676578434,2.8084313893264504e-05,1.944395744747365,6.238424939911136,16.952962774469356,1.5346262565032196,7.500000000000001e-05,7.662866094822445,5.688218410948782,31.096387846328,3.661222835877612,12.772952864472504
gcmu,chain-full,0.85,0.02174283528574884,0.002093537010920425,2.7260296009229325e-05,1.2985063549212748,4.512943085093926,12.807835134147677,1.1391075624772884,6.500000000000001e-05,8.439385995631277,5.7017478896766605,38.33713926655015,2.684667812018428,9.698164758223951
edd,chain-full,0.85,0.01965254546011957,0.002374990091410423,8.04120394098544e-05,1.2851953315898783,4.5272211330889,18.45296060081396,1.4502445299934295,0.0002,8.98723849668538,5.6786324879244345,40.58298028363046,1.7863586780382414,7.23627005924283
static-tier,logpool,0.85,0.021815531634902782,0.0036108094056347597,0.00019955030540025288,1.4779173102887713,4.945787796823697,24.719397420745253,1.8513431478273084,0.00042500000000000003,8.466460941415418,5.669401996644774,34.26213823962364,2.502563012094102,10.8484797311914
