# per-language calibration on test, 15 equal-width bins. split=e7b5934392cd label_version=v8 generated_by=calibration.py
task,model,language,n,accuracy,mean_confidence,ece,overconfidence,macro_f1
priority,labse,all,15395,0.9008119519324456,0.966635178181985,0.06582322624953936,0.0658232262495394,0.8900882530642412
priority,labse,english,3079,0.9262747645339396,0.9749800273546657,0.051322115623319925,0.04870526282072607,0.9228728971343956
priority,labse,singlish,3079,0.8973692757388763,0.963753237221759,0.06638396148288273,0.06638396148288273,0.881661890556536
priority,labse,sinhala,3079,0.9223773952582007,0.9723336993196097,0.05257207594664312,0.04995630406140894,0.917911676839751
priority,labse,tamil,3079,0.9165313413445924,0.9734884964815785,0.057667362579628775,0.05695715513698618,0.9130095142674911
priority,labse,tamilish,3079,0.8415069827866191,0.9486204305323117,0.10711344774569262,0.10711344774569265,0.8141853492704545
priority,tfidf-logreg,all,15395,0.8876258525495291,0.8704804438061451,0.01797110821933646,-0.017145408743383994,0.8706419248468759
priority,tfidf-logreg,english,3079,0.90776226047418,0.8935136005899834,0.014451051240924065,-0.014248659884196546,0.8986768042209521
priority,tfidf-logreg,singlish,3079,0.9022409873335498,0.8893500281132694,0.01589895387887898,-0.012890959220280496,0.8889348554549441
priority,tfidf-logreg,sinhala,3079,0.8967197141929197,0.8824865126198247,0.017049581175552175,-0.014233201573095045,0.881007761819817
priority,tfidf-logreg,tamil,3079,0.8944462487820721,0.8695106379973994,0.02626636460359833,-0.024935610784672768,0.884857542970242
priority,tfidf-logreg,tamilish,3079,0.8369600519649236,0.817541439710249,0.023524247306702297,-0.019418612254674672,0.7984827241315853
sentiment,labse,all,15395,0.9658330626826892,0.9923347779782262,0.026501715295537007,0.02650171529553702,0.8478256833343305
sentiment,labse,english,3079,0.9759662227996103,0.9944108270057884,0.018737213067243352,0.018444604206178106,0.8951965748434245
sentiment,labse,singlish,3079,0.9613510880155894,0.9929230887613424,0.03169852044141767,0.03157200074575295,0.8276000954219576
sentiment,labse,sinhala,3079,0.966222799610263,0.9931838287475552,0.027627606676862985,0.026961029137292147,0.852708699779948
sentiment,labse,tamil,3079,0.9707697304319585,0.9937255714147963,0.022955840982837927,0.022955840982837872,0.8725363748095705
sentiment,labse,tamilish,3079,0.9548554725560247,0.9874305739616488,0.03301452361131971,0.03257510140562414,0.7854242446272207
sentiment,tfidf-logreg,all,15395,0.9514127963624553,0.9241299790368708,0.027282817325584626,-0.027282817325584574,0.8061275588288019
sentiment,tfidf-logreg,english,3079,0.9584280610587853,0.9283242411085614,0.03010381995022391,-0.03010381995022393,0.8385998709165905
sentiment,tfidf-logreg,singlish,3079,0.9509581032802858,0.9247483453701153,0.02620975791017058,-0.02620975791017055,0.8140341277488654
sentiment,tfidf-logreg,sinhala,3079,0.9467359532315687,0.9249236565999619,0.021874901416442494,-0.021812296631606776,0.7984497237921895
sentiment,tfidf-logreg,tamil,3079,0.9551802533290029,0.9225353293813441,0.033232214981123824,-0.03264492394765883,0.8267431619122181
sentiment,tfidf-logreg,tamilish,3079,0.945761610912634,0.9201183227243714,0.026459456173168278,-0.02564328818826256,0.7393377710389271
