task,metric,model,arm,english,sinhala,singlish,tamil,tamilish,all
intent,macro-F1,tfidf-svm,none,0.918,0.8666,0.8793,0.8528,0.6127,0.8308
intent,macro-F1,tfidf-logreg,none,0.9096,0.8595,0.8751,0.8302,0.5854,0.8189
intent,macro-F1,tfidf-sgd,none,0.9079,0.8489,0.8646,0.8305,0.5669,0.8115
intent,macro-F1,tfidf-mnb,none,0.8852660284456947,0.8469287032392204,0.8580152025721364,0.8294111289726059,0.5820431778886989,0.8051719799636834
intent,macro-F1,tfidf-rf,class_weight,0.877976398722718,0.8311857370364211,0.8529385641346351,0.8102103287086441,0.5603837675180044,0.794579623943087
intent,macro-F1,tfidf-ridge,class_weight,0.8588658514840747,0.7951951066354145,0.8139353169333065,0.7779419703540019,0.55222693795102,0.7653149402350738
intent,macro-F1,tfidf-knn,none,0.834469121247848,0.7687462839312356,0.7768308519138657,0.7490312857915202,0.5148999501094189,0.7332312606807699
intent,macro-F1,tfidf-cnb,none,0.7772,0.6732,0.7194,0.7234,0.4925,0.6792
sentiment,Negative-F1,tfidf-svm,class_weight,0.7198,0.6412,0.6633,0.7249,0.5722,0.6653
sentiment,Negative-F1,tfidf-logreg,ros,0.6995,0.6256,0.6545,0.6776,0.5074,0.6383
sentiment,Negative-F1,tfidf-sgd,ros,0.6842,0.5954,0.6218,0.6608,0.4577,0.6092
sentiment,Negative-F1,tfidf-mnb,none,0.6059405940594059,0.5865384615384616,0.6123456790123457,0.6003898635477583,0.4878048780487805,0.582427536231884
sentiment,Negative-F1,tfidf-rf,class_weight,0.5956112852664577,0.5845272206303725,0.573170731707317,0.5870967741935483,0.36923076923076925,0.5491698595146871
sentiment,Negative-F1,tfidf-ridge,none,0.6245847176079734,0.4855072463768116,0.5435540069686411,0.6066666666666667,0.3870967741935484,0.5354107648725213
sentiment,Negative-F1,tfidf-cnb,ros,0.5139,0.5083,0.5302,0.5239,0.3738,0.4968
sentiment,Negative-F1,tfidf-knn,ros,0.5195729537366548,0.4823943661971831,0.4931972789115646,0.5134649910233393,0.37554585152838427,0.4807903402854007
priority,macro-F1,tfidf-ridge,class_weight,0.9001530492759063,0.8868341233398883,0.8939925175994731,0.8958077639007326,0.7985867931461413,0.87543190051569
priority,macro-F1,tfidf-svm,class_weight,0.905,0.8848,0.8918,0.8854,0.7984,0.8734
priority,macro-F1,tfidf-logreg,ros,0.8987,0.881,0.8889,0.8849,0.7985,0.8706
priority,macro-F1,tfidf-sgd,ros,0.8953,0.8802,0.8831,0.8853,0.7805,0.8659
priority,macro-F1,tfidf-rf,class_weight,0.886373063884256,0.8575192506166097,0.8790442044464798,0.8786787480669109,0.7848891695423735,0.8580302194083069
priority,macro-F1,tfidf-mnb,none,0.8724081332849923,0.8539364324890277,0.8629846938475766,0.8633714579415438,0.7753845630998351,0.8452445171020031
priority,macro-F1,tfidf-cnb,class_weight,0.8643,0.8479,0.854,0.8653,0.7782,0.8422
priority,macro-F1,tfidf-knn,none,0.8803308974069354,0.8541255934536737,0.8594121289113587,0.8560565463985775,0.7305542160219393,0.8379439881250915
