y_true,y_pred,n,n_reverse,symmetry,kind
unable_to_verify_identity,verify_my_identity,40,7,0.175,one-way (model bias)
why_verify_identity,verify_my_identity,37,14,0.378,one-way (model bias)
virtual_card_not_working,get_disposable_virtual_card,36,0,0.0,one-way (model bias)
change_pin,get_physical_card,35,7,0.2,one-way (model bias)
wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,30,7,0.233,one-way (model bias)
virtual_card_not_working,getting_virtual_card,29,0,0.0,one-way (model bias)
top_up_reverted,top_up_failed,28,25,0.893,mutual (label boundary)
pin_blocked,get_physical_card,28,1,0.036,one-way (model bias)
exchange_rate,card_payment_wrong_exchange_rate,28,5,0.179,one-way (model bias)
get_disposable_virtual_card,disposable_card_limits,27,26,0.963,mutual (label boundary)
disposable_card_limits,get_disposable_virtual_card,26,27,0.963,mutual (label boundary)
top_up_failed,top_up_reverted,25,28,0.893,mutual (label boundary)
pending_top_up,top_up_failed,25,12,0.48,one-way (model bias)
exchange_via_app,exchange_rate,24,1,0.042,one-way (model bias)
balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,23,3,0.13,one-way (model bias)
getting_spare_card,order_physical_card,22,3,0.136,one-way (model bias)
top_up_reverted,pending_top_up,21,1,0.048,one-way (model bias)
card_arrival,card_delivery_estimate,20,16,0.8,mutual (label boundary)
Refund_not_showing_up,request_refund,19,4,0.211,one-way (model bias)
reverted_card_payment?,declined_card_payment,18,5,0.278,one-way (model bias)
