task,model,track,headline,headline_english,delta_headline,error_rate,error_rate_english,delta_error_pp,n_paired,ref_only_correct,track_only_correct,discordant,p_mcnemar,delta_ci_low,delta_ci_high,p_bootstrap,significant_05,tests_agree
intent,tfidf-cnb,sinhala,0.6732,0.7772,-0.104,0.3254,0.2157,10.98,3079,509,171,680,7.389366723156643e-40,-0.1207,-0.0886,0.0,True,True
intent,tfidf-cnb,singlish,0.7194,0.7772,-0.0578,0.2705,0.2157,5.49,3079,355,186,541,3.291582096285775e-13,-0.0736,-0.0438,0.0,True,True
intent,tfidf-cnb,tamil,0.7234,0.7772,-0.0538,0.266,0.2157,5.03,3079,426,271,697,4.723970121220338e-09,-0.0715,-0.0379,0.0,True,True
intent,tfidf-cnb,tamilish,0.4925,0.7772,-0.2847,0.4982,0.2157,28.26,3079,1024,154,1178,4.78011290356844e-158,-0.3041,-0.2662,0.0,True,True
intent,tfidf-logreg,sinhala,0.8595,0.9096,-0.0502,0.1384,0.0906,4.77,3079,213,66,279,3.2369736585356344e-19,-0.0616,-0.0406,0.0,True,True
intent,tfidf-logreg,singlish,0.8751,0.9096,-0.0345,0.1241,0.0906,3.35,3079,170,67,237,1.6626497033815533e-11,-0.0447,-0.0258,0.0,True,True
intent,tfidf-logreg,tamil,0.8302,0.9096,-0.0794,0.1617,0.0906,7.11,3079,318,99,417,7.084906579723144e-28,-0.0932,-0.068,0.0,True,True
intent,tfidf-logreg,tamilish,0.5854,0.9096,-0.3243,0.393,0.0906,30.24,3079,990,59,1049,8.109716375579048e-219,-0.3423,-0.3103,0.0,True,True
intent,tfidf-sgd,sinhala,0.8489,0.9079,-0.059,0.1487,0.0926,5.62,3079,254,81,335,6.334888085935845e-22,-0.0715,-0.0485,0.0,True,True
intent,tfidf-sgd,singlish,0.8646,0.9079,-0.0432,0.1338,0.0926,4.12,3079,206,79,285,3.14163392006476e-14,-0.0551,-0.0332,0.0,True,True
intent,tfidf-sgd,tamil,0.8305,0.9079,-0.0774,0.1617,0.0926,6.92,3079,316,103,419,3.009845564995442e-26,-0.0902,-0.0659,0.0,True,True
intent,tfidf-sgd,tamilish,0.5669,0.9079,-0.341,0.417,0.0926,32.45,3079,1052,53,1105,6.341438757884663e-242,-0.3586,-0.3256,0.0,True,True
intent,tfidf-svm,sinhala,0.8666,0.918,-0.0514,0.1319,0.0822,4.97,3079,228,75,303,4.1926000676390013e-19,-0.0634,-0.0408,0.0,True,True
intent,tfidf-svm,singlish,0.8793,0.918,-0.0386,0.1202,0.0822,3.8,3079,186,69,255,1.389018657059736e-13,-0.0496,-0.0293,0.0,True,True
intent,tfidf-svm,tamil,0.8528,0.918,-0.0652,0.1423,0.0822,6.01,3079,285,100,385,1.0644128512052213e-21,-0.0773,-0.0542,0.0,True,True
intent,tfidf-svm,tamilish,0.6127,0.918,-0.3053,0.3712,0.0822,28.91,3079,936,46,982,1.3899416641064366e-216,-0.3234,-0.2907,0.0,True,True
priority,tfidf-cnb,sinhala,0.8479,0.8643,-0.0164,0.1361,0.126,1.01,3079,141,110,251,0.058063969515125165,-0.0302,-0.0032,0.026,True,False
priority,tfidf-cnb,singlish,0.854,0.8643,-0.0103,0.1296,0.126,0.36,3079,104,93,197,0.47626671506798546,-0.0228,0.0016,0.094,False,True
priority,tfidf-cnb,tamil,0.8653,0.8643,0.001,0.1267,0.126,0.06,3079,125,123,248,0.949385328165352,-0.0122,0.0149,0.878,False,True
priority,tfidf-cnb,tamilish,0.7782,0.8643,-0.0862,0.1877,0.126,6.17,3079,305,115,420,6.081102326025799e-21,-0.103,-0.0687,0.0,True,True
priority,tfidf-logreg,sinhala,0.881,0.8987,-0.0177,0.1033,0.0922,1.1,3079,109,75,184,0.014757718047602156,-0.0302,-0.0058,0.0,True,True
priority,tfidf-logreg,singlish,0.8889,0.8987,-0.0097,0.0978,0.0922,0.55,3079,100,83,183,0.236822713130816,-0.0215,0.002,0.122,False,True
priority,tfidf-logreg,tamil,0.8849,0.8987,-0.0138,0.1056,0.0922,1.33,3079,139,98,237,0.009225426655911466,-0.0268,-0.0014,0.028,True,True
priority,tfidf-logreg,tamilish,0.7985,0.8987,-0.1002,0.163,0.0922,7.08,3079,306,88,394,2.536892826080128e-29,-0.1176,-0.0832,0.0,True,True
priority,tfidf-sgd,sinhala,0.8802,0.8953,-0.0151,0.1085,0.0968,1.17,3079,138,102,240,0.023667640256366515,-0.0301,-0.0017,0.018,True,True
priority,tfidf-sgd,singlish,0.8831,0.8953,-0.0122,0.1039,0.0968,0.71,3079,122,100,222,0.15855489498189748,-0.0259,0.001,0.072,False,True
priority,tfidf-sgd,tamil,0.8853,0.8953,-0.01,0.1072,0.0968,1.04,3079,162,130,292,0.06947367878148156,-0.0239,0.0035,0.134,False,True
priority,tfidf-sgd,tamilish,0.7805,0.8953,-0.1148,0.1718,0.0968,7.5,3079,345,114,459,4.699464802656174e-28,-0.1358,-0.0966,0.0,True,True
priority,tfidf-svm,sinhala,0.8848,0.905,-0.0202,0.1046,0.0903,1.43,3079,127,83,210,0.0029145350555315292,-0.0338,-0.0077,0.0,True,True
priority,tfidf-svm,singlish,0.8918,0.905,-0.0133,0.0978,0.0903,0.75,3079,106,83,189,0.10929564898388176,-0.0263,0.0002,0.052,False,True
priority,tfidf-svm,tamil,0.8854,0.905,-0.0196,0.1065,0.0903,1.62,3079,157,107,264,0.0024983362080909554,-0.034,-0.0067,0.004,True,True
priority,tfidf-svm,tamilish,0.7984,0.905,-0.1067,0.1614,0.0903,7.11,3079,317,98,415,5.127158143254526e-28,-0.126,-0.0904,0.0,True,True
sentiment,labse,sinhala,0.7234,0.8032,-0.0798,0.0338,0.024,0.97,3079,42,12,54,5.209447200793526e-05,-0.1221,-0.0442,0.0,True,True
sentiment,labse,singlish,0.6757,0.8032,-0.1274,0.0386,0.024,1.46,3079,67,22,89,1.899849174722082e-06,-0.1817,-0.0803,0.0,True,True
sentiment,labse,tamil,0.7606,0.8032,-0.0426,0.0292,0.024,0.52,3079,32,16,48,0.029304946720529308,-0.0811,-0.0091,0.018,True,True
sentiment,labse,tamilish,0.5948,0.8032,-0.2084,0.0451,0.024,2.11,3079,86,21,107,1.6010060804361699e-10,-0.2705,-0.1533,0.0,True,True
sentiment,tfidf-cnb,sinhala,0.5083,0.5139,-0.0056,0.0861,0.102,-1.59,3079,104,153,257,0.002682228821792386,-0.0439,0.0336,0.84,False,False
sentiment,tfidf-cnb,singlish,0.5302,0.5139,0.0163,0.0857,0.102,-1.62,3079,87,137,224,0.0010162281955814598,-0.0155,0.0501,0.364,False,False
sentiment,tfidf-cnb,tamil,0.5239,0.5139,0.01,0.0939,0.102,-0.81,3079,99,124,223,0.10781097222614842,-0.0191,0.0418,0.498,False,True
sentiment,tfidf-cnb,tamilish,0.3738,0.5139,-0.1401,0.087,0.102,-1.49,3079,149,195,344,0.015135268076701005,-0.1925,-0.0853,0.0,True,True
sentiment,tfidf-logreg,sinhala,0.6256,0.6995,-0.074,0.0533,0.0416,1.17,3079,92,56,148,0.0038645812171462113,-0.1225,-0.0249,0.006,True,True
sentiment,tfidf-logreg,singlish,0.6545,0.6995,-0.0451,0.049,0.0416,0.75,3079,82,59,141,0.0635371986671395,-0.0914,0.0029,0.066,False,True
sentiment,tfidf-logreg,tamil,0.6776,0.6995,-0.022,0.0448,0.0416,0.32,3079,73,63,136,0.4403825433795313,-0.0709,0.0259,0.392,False,True
sentiment,tfidf-logreg,tamilish,0.5074,0.6995,-0.1922,0.0542,0.0416,1.27,3079,100,61,161,0.0026347303601547537,-0.2586,-0.1293,0.0,True,True
sentiment,tfidf-sgd,sinhala,0.5954,0.6842,-0.0888,0.0455,0.0351,1.04,3079,73,41,114,0.003504683784608791,-0.1534,-0.024,0.008,True,True
sentiment,tfidf-sgd,singlish,0.6218,0.6842,-0.0624,0.0438,0.0351,0.88,3079,72,45,117,0.015864496824406386,-0.1256,-0.0009,0.046,True,True
sentiment,tfidf-sgd,tamil,0.6608,0.6842,-0.0234,0.0377,0.0351,0.26,3079,57,49,106,0.4967543930289453,-0.087,0.0396,0.438,False,True
sentiment,tfidf-sgd,tamilish,0.4577,0.6842,-0.2265,0.05,0.0351,1.49,3079,85,39,124,4.410029455394904e-05,-0.3121,-0.1424,0.0,True,True
sentiment,tfidf-svm,sinhala,0.6412,0.7198,-0.0786,0.0458,0.0354,1.04,3079,82,50,132,0.006746358859536158,-0.1353,-0.0258,0.0,True,True
sentiment,tfidf-svm,singlish,0.6633,0.7198,-0.0565,0.0438,0.0354,0.84,3079,77,51,128,0.026735172855975448,-0.1104,-0.0034,0.036,True,True
sentiment,tfidf-svm,tamil,0.7249,0.7198,0.0051,0.0348,0.0354,-0.06,3079,61,63,124,0.9284921641248501,-0.05,0.0567,0.888,False,True
sentiment,tfidf-svm,tamilish,0.5722,0.7198,-0.1476,0.051,0.0354,1.56,3079,100,52,152,0.00012227884454768225,-0.2076,-0.0827,0.0,True,True
