task,metric,model,family,arm,headline,ci_lower,ci_upper,accuracy,n,n_train,fit_portion,label_version,epoch_selection_ok
intent,macro-F1,labse,encoder,class_weight,0.8835,,,0.883,15395,49990,train+dev,v8,True
intent,macro-F1,xlmr-base,encoder,class_weight,0.8801,,,0.8801,15395,49990,train+dev,v8,True
intent,macro-F1,mmbert,encoder,class_weight,0.868,,,0.8677,15395,49990,train+dev,v8,True
intent,macro-F1,gemma-3-1b-multitask-sharedhead,slm-multitask,class_weight,0.8673,,,0.8668,15395,149970,train+dev,,True
intent,macro-F1,gemma-3-1b,decoder,class_weight,0.8635,,,0.8631,15395,49990,train+dev,v8,True
intent,macro-F1,gemma-3-1b-multitask-shared3head,slm-multitask,class_weight,0.8616,,,0.8609,15395,49990,train+dev,,True
intent,macro-F1,muril-base,encoder,class_weight,0.8467,,,0.8459,15395,49990,train+dev,v8,True
intent,macro-F1,gemma-3-270m,decoder,class_weight,0.8414,,,0.841,15395,49990,train+dev,v8,True
intent,macro-F1,tfidf-svm,classical,none,0.8308,0.8249,0.8359,0.8305,15395,49990,train+dev,v8,True
intent,macro-F1,tfidf-logreg,classical,none,0.8189,0.8126,0.824,0.8184,15395,49990,train+dev,v8,True
intent,macro-F1,tfidf-sgd,classical,none,0.8115,0.8053,0.8167,0.8092,15395,49990,train+dev,v8,True
intent,macro-F1,labse-ft-priority-probe-mean,probe,class_weight,0.7971,,,0.7962,15395,42500,train,,True
intent,macro-F1,labse-ft-priority-probe-cls,probe,class_weight,0.7962,,,0.7953,15395,42500,train,,True
intent,macro-F1,labse-probe-mean,probe,class_weight,0.7822,,,0.7816,15395,42500,train,,True
intent,macro-F1,labse-probe-cls,probe,class_weight,0.7773,,,0.7769,15395,42500,train,,True
intent,macro-F1,labse-ft-sentiment-probe-mean,probe,class_weight,0.7676,,,0.7671,15395,42500,train,,True
intent,macro-F1,labse-ft-sentiment-probe-cls,probe,class_weight,0.7594,,,0.7591,15395,42500,train,,True
intent,macro-F1,tfidf-cnb,classical,none,0.6792,0.671,0.6859,0.6848,15395,49990,train+dev,v8,True
sentiment,Negative-F1,labse,encoder,class_weight,0.7138,,,0.9658,15395,49990,train+dev,v8,True
sentiment,Negative-F1,gemma-3-1b,encoder,class_weight,0.7126,,,0.9675,15395,49990,train+dev,v8,True
sentiment,Negative-F1,gemma-3-1b-multitask-sharedhead,slm-multitask,class_weight,0.7048,,,0.9608,15395,149970,train+dev,v8,True
sentiment,Negative-F1,gemma-3-1b-multitask-shared3head,slm-multitask,class_weight,0.7042,,,0.9649,15395,49990,train+dev,v8,True
sentiment,Negative-F1,xlmr-base,encoder,class_weight,0.7007,,,0.9654,15395,49990,train+dev,v8,True
sentiment,Negative-F1,mmbert,encoder,class_weight,0.7,,,0.9669,15395,49990,train+dev,v8,True
sentiment,Negative-F1,muril-base,encoder,class_weight,0.679,,,0.9649,15395,49990,train+dev,v8,True
sentiment,Negative-F1,tfidf-svm,classical,class_weight,0.6653,0.6411,0.6889,0.9578,15395,49990,train+dev,v8,True
sentiment,Negative-F1,tfidf-logreg,classical,ros,0.6383,0.6144,0.663,0.9514,15395,93690,train+dev,v8,True
sentiment,Negative-F1,tfidf-sgd,classical,ros,0.6092,0.5817,0.6377,0.9576,15395,93690,train+dev,v8,True
sentiment,Negative-F1,tfidf-cnb,classical,ros,0.4968,0.4735,0.5202,0.9091,15395,93690,train+dev,v8,True
priority,macro-F1,gemma-3-1b-multitask-sharedhead,slm-multitask,class_weight,0.8904,,,0.9011,15395,149970,train+dev,,True
priority,macro-F1,labse,encoder,class_weight,0.89,,,0.9007,15395,49990,train+dev,,True
priority,macro-F1,gemma-3-1b,encoder,class_weight,0.8898,,,0.9004,15395,49990,train+dev,,True
priority,macro-F1,gemma-3-1b-multitask-shared3head,slm-multitask,class_weight,0.8895,,,0.901,15395,49990,train+dev,,True
priority,macro-F1,mmbert,encoder,class_weight,0.8887,,,0.9012,15395,49990,train+dev,,True
priority,macro-F1,xlmr-base,encoder,class_weight,0.8872,,,0.8992,15395,49990,train+dev,,True
priority,macro-F1,labse-ft-priority-probe-cls,probe,class_weight,0.8825,,,0.8953,15395,42500,train,,True
priority,macro-F1,labse-ft-priority-probe-mean,probe,class_weight,0.8816,,,0.8948,15395,42500,train,,True
priority,macro-F1,tfidf-svm,classical,class_weight,0.8734,0.8669,0.8797,0.8879,15395,49990,train+dev,v8,True
priority,macro-F1,muril-base,encoder,class_weight,0.8717,,,0.8859,15395,49990,train+dev,v8,True
priority,macro-F1,tfidf-logreg,classical,ros,0.8706,0.8638,0.8771,0.8876,15395,79695,train+dev,v8,True
priority,macro-F1,tfidf-sgd,classical,ros,0.8659,0.8594,0.8721,0.8824,15395,79695,train+dev,v8,True
priority,macro-F1,tfidf-cnb,classical,class_weight,0.8422,0.8352,0.8481,0.8588,15395,49990,train+dev,v8,True
priority,macro-F1,labse-ft-sentiment-probe-mean,probe,class_weight,0.804,,,0.8363,15395,42500,train,,True
priority,macro-F1,labse-probe-mean,probe,class_weight,0.8015,,,0.8353,15395,42500,train,,True
priority,macro-F1,labse-probe-cls,probe,class_weight,0.8008,,,0.8357,15395,42500,train,,True
priority,macro-F1,labse-ft-sentiment-probe-cls,probe,class_weight,0.799,,,0.8319,15395,42500,train,,True
