# (fifo - tus) / (fifo - oracle), bootstrap CI over seeds. split=e7b5934392cd label_version=v8 sla_high=30.0 sla_med=120.0 sla_low=480.0 agents=5 service_mean=8.0min tickets_per_rep=1000 generated_by=run_system_eval.py
rho,metric,policy,fifo,policy_value,oracle,attainment,ci_lo,ci_hi
0.85,high_mean_wait,tus,5.780450188052457,1.1251010988940038,0.9883364449047193,0.9714604741623996,0.9656625867250367,0.976892846901327
0.95,high_mean_wait,tus,16.757292479890044,1.5349702372792382,1.298845280686258,0.9847251827075398,0.9820231729002821,0.9871748457343791
1.05,high_mean_wait,tus,52.4555655547495,1.9760323641844202,1.4681501217942587,0.990039066736811,0.9883386684267202,0.991681097732683
0.85,high_p95_wait,tus,20.929298214486266,4.144470909405083,3.6578261191451626,0.971823780418162,0.9650565931899311,0.9784151815345905
0.95,high_p95_wait,tus,41.72013296307813,4.717834549475712,4.107665843184048,0.9837774878115099,0.9798331345990933,0.9874081151949115
1.05,high_p95_wait,tus,99.29096187258283,5.172132632692669,4.218405285165428,0.989968426412828,0.988079345132212,0.9918141813091426
0.85,rel_tardiness,tus,0.0007311052328729946,2.313087968769552e-05,0.0,0.9683617642882969,0.9246384347614168,0.991529879018741
0.95,rel_tardiness,tus,0.011766261997647626,0.0001451835311028252,0.0,0.9876610319290994,0.9830902482896648,0.992153175479111
1.05,rel_tardiness,tus,0.10049554288466846,0.005379586115667798,0.0,0.9464694058935372,0.9367607659303964,0.9560431378556196
0.85,sla_breach_rate,tus,0.0022400000000000002,6.500000000000001e-05,0.0,0.9709821428571429,0.9485240416391275,0.9879281714382683
0.95,sla_breach_rate,tus,0.017965,0.00065,0.0,0.9638185360423046,0.9459682220524801,0.9786129346721291
1.05,sla_breach_rate,tus,0.08965500000000003,0.016195,0.0,0.8193631141598348,0.7984701519790988,0.8433591627128537
