# Layer 2, test. split=e7b5934392cd label_version=v8 sla_high=30.0 sla_med=120.0 sla_low=480.0 agents=5 service_mean=8.0min tickets_per_rep=1000 generated_by=run_system_eval.py
rho,policy,seed_mean,seed_std,high_mean_wait_mean,high_mean_wait_std,high_p95_wait_mean,high_p95_wait_std,low_p95_wait_mean,low_p95_wait_std,mean_wait_mean,mean_wait_std,sla_breach_rate_mean,sla_breach_rate_std,high_sla_breach_rate_mean,high_sla_breach_rate_std,rel_tardiness_mean,rel_tardiness_std,high_rel_tardiness_mean,high_rel_tardiness_std,low_rel_tardiness_mean,low_rel_tardiness_std
0.85,fifo,99.5,57.879,5.78,3.248,20.929,10.226,21.29,9.816,5.696,2.991,0.002,0.005,0.024,0.053,0.001,0.002,0.008,0.025,0.0,0.0
0.85,oracle,99.5,57.879,0.988,0.215,3.658,0.701,36.107,17.566,5.663,2.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.85,random,99.5,57.879,5.592,3.743,26.363,21.709,27.04,15.346,5.656,3.033,0.006,0.006,0.041,0.032,0.007,0.011,0.061,0.088,0.0,0.0
0.85,tier,99.5,57.879,1.527,0.615,5.148,2.23,34.235,16.235,5.669,2.939,0.0,0.001,0.005,0.009,0.0,0.001,0.002,0.007,0.0,0.0
0.85,tus,99.5,57.879,1.125,0.288,4.144,0.789,46.805,28.083,5.671,3.037,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.002,0.0,0.0
0.95,fifo,99.5,57.879,16.757,11.716,41.72,22.715,42.415,22.313,16.629,11.204,0.018,0.02,0.187,0.202,0.012,0.022,0.125,0.235,0.0,0.0
0.95,oracle,99.5,57.879,1.299,0.232,4.108,0.72,74.009,40.167,16.612,11.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,random,99.5,57.879,16.495,14.179,84.188,86.307,88.068,78.267,16.589,11.501,0.023,0.017,0.096,0.051,0.051,0.065,0.343,0.426,0.003,0.006
0.95,tier,99.5,57.879,3.039,1.768,11.428,12.99,70.265,37.55,16.63,11.213,0.004,0.006,0.022,0.02,0.003,0.005,0.025,0.04,0.0,0.0
0.95,tus,99.5,57.879,1.535,0.346,4.718,0.938,124.087,82.146,16.611,11.306,0.001,0.002,0.001,0.004,0.0,0.0,0.001,0.002,0.0,0.001
1.05,fifo,99.5,57.879,52.456,28.41,99.291,45.727,100.395,46.37,52.225,27.635,0.09,0.069,0.616,0.255,0.1,0.094,0.976,0.829,0.0,0.0
1.05,oracle,99.5,57.879,1.468,0.212,4.218,0.791,172.183,77.654,52.174,27.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.05,random,99.5,57.879,52.038,32.968,325.655,249.798,334.432,230.632,51.673,27.409,0.068,0.032,0.174,0.058,0.248,0.177,1.441,1.056,0.026,0.025
1.05,tier,99.5,57.879,7.186,4.366,38.497,48.798,164.943,73.714,52.272,27.747,0.02,0.016,0.046,0.024,0.021,0.022,0.139,0.127,0.0,0.0
1.05,tus,99.5,57.879,1.976,0.669,5.172,1.242,344.019,173.886,52.426,28.076,0.016,0.025,0.004,0.006,0.005,0.011,0.005,0.014,0.008,0.018
