Language,Classifier,Features,Accuracy_Pct,Macro_F1_Pct,Difference_from_combined_features
english,Linear SVM,"Word TF-IDF (1, 2)",89.44,89.43,-1.55
english,Linear SVM,"Character TF-IDF (3, 5)",90.74,90.71,-0.27
english,Linear SVM,Word + Character TF-IDF,90.97,90.98,0.0
sinhala,Linear SVM,"Word TF-IDF (1, 2)",79.25,78.58,-4.17
sinhala,Linear SVM,"Character TF-IDF (3, 5)",82.82,82.13,-0.62
sinhala,Linear SVM,Word + Character TF-IDF,83.6,82.75,0.0
singlish,Linear SVM,"Word TF-IDF (1, 2)",84.64,84.56,-1.93
singlish,Linear SVM,"Character TF-IDF (3, 5)",85.29,85.07,-1.42
singlish,Linear SVM,Word + Character TF-IDF,86.55,86.49,0.0
tamil,Linear SVM,"Word TF-IDF (1, 2)",76.62,75.9,-10.45
tamil,Linear SVM,"Character TF-IDF (3, 5)",86.65,85.9,-0.45
tamil,Linear SVM,Word + Character TF-IDF,86.85,86.35,0.0
tamilish,Linear SVM,"Word TF-IDF (1, 2)",59.47,57.75,-3.3
tamilish,Linear SVM,"Character TF-IDF (3, 5)",61.32,59.86,-1.19
tamilish,Linear SVM,Word + Character TF-IDF,62.23,61.05,0.0
all,Linear SVM,"Word TF-IDF (1, 2)",79.64,79.64,-3.54
all,Linear SVM,"Character TF-IDF (3, 5)",82.79,82.82,-0.36
all,Linear SVM,Word + Character TF-IDF,83.14,83.18,0.0
