Model,Language,Intent_Class,Precision,Recall,F1_Score,Support
Logistic Regression,english,Refund_not_showing_up,94.87,92.5,93.67,40
Logistic Regression,english,activate_my_card,100.0,92.5,96.1,40
Logistic Regression,english,age_limit,97.56,100.0,98.77,40
Logistic Regression,english,apple_pay_or_google_pay,100.0,100.0,100.0,40
Logistic Regression,english,atm_support,94.87,94.87,94.87,39
Logistic Regression,english,automatic_top_up,100.0,95.0,97.44,40
Logistic Regression,english,balance_not_updated_after_bank_transfer,74.42,80.0,77.11,40
Logistic Regression,english,balance_not_updated_after_cheque_or_cash_deposit,88.37,95.0,91.57,40
Logistic Regression,english,beneficiary_not_allowed,100.0,90.0,94.74,40
Logistic Regression,english,cancel_transfer,97.37,92.5,94.87,40
Logistic Regression,english,card_about_to_expire,97.56,100.0,98.77,40
Logistic Regression,english,card_acceptance,90.0,90.0,90.0,40
Logistic Regression,english,card_arrival,85.37,87.5,86.42,40
Logistic Regression,english,card_delivery_estimate,90.24,92.5,91.36,40
Logistic Regression,english,card_linking,95.12,97.5,96.3,40
Logistic Regression,english,card_not_working,74.0,92.5,82.22,40
Logistic Regression,english,card_payment_fee_charged,92.11,87.5,89.74,40
Logistic Regression,english,card_payment_not_recognised,84.21,80.0,82.05,40
Logistic Regression,english,card_payment_wrong_exchange_rate,95.0,95.0,95.0,40
Logistic Regression,english,card_swallowed,94.87,92.5,93.67,40
Logistic Regression,english,cash_withdrawal_charge,95.0,95.0,95.0,40
Logistic Regression,english,cash_withdrawal_not_recognised,84.44,95.0,89.41,40
Logistic Regression,english,change_pin,100.0,92.5,96.1,40
Logistic Regression,english,compromised_card,84.09,92.5,88.1,40
Logistic Regression,english,contactless_not_working,100.0,90.0,94.74,40
Logistic Regression,english,country_support,90.7,97.5,93.98,40
Logistic Regression,english,declined_card_payment,85.11,100.0,91.95,40
Logistic Regression,english,declined_cash_withdrawal,88.37,95.0,91.57,40
Logistic Regression,english,declined_transfer,100.0,82.5,90.41,40
Logistic Regression,english,direct_debit_payment_not_recognised,93.94,77.5,84.93,40
Logistic Regression,english,disposable_card_limits,87.18,85.0,86.08,40
Logistic Regression,english,edit_personal_details,97.56,100.0,98.77,40
Logistic Regression,english,exchange_charge,85.37,87.5,86.42,40
Logistic Regression,english,exchange_rate,90.7,97.5,93.98,40
Logistic Regression,english,exchange_via_app,83.72,90.0,86.75,40
Logistic Regression,english,extra_charge_on_statement,92.11,87.5,89.74,40
Logistic Regression,english,failed_transfer,74.0,92.5,82.22,40
Logistic Regression,english,fiat_currency_support,93.94,77.5,84.93,40
Logistic Regression,english,get_disposable_virtual_card,86.11,77.5,81.58,40
Logistic Regression,english,get_physical_card,86.67,97.5,91.76,40
Logistic Regression,english,getting_spare_card,92.5,92.5,92.5,40
Logistic Regression,english,getting_virtual_card,79.17,95.0,86.36,40
