id,language,tokenizer,model_id,word_count,subword_count,seq_length,fragmentation_ratio,unk_rate,trunc_64,trunc_128,trunc_256,trunc_512
6579,english,xlm_roberta,xlm-roberta-base,11,13,15,1.1818,0.0,0,0,0,0
1946,english,xlm_roberta,xlm-roberta-base,5,8,10,1.6,0.0,0,0,0,0
5491,english,xlm_roberta,xlm-roberta-base,8,9,11,1.125,0.0,0,0,0,0
8464,english,xlm_roberta,xlm-roberta-base,8,10,12,1.25,0.0,0,0,0,0
5033,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
6085,english,xlm_roberta,xlm-roberta-base,10,11,13,1.1,0.0,0,0,0,0
6133,english,xlm_roberta,xlm-roberta-base,10,11,13,1.1,0.0,0,0,0,0
4027,english,xlm_roberta,xlm-roberta-base,7,7,9,1.0,0.0,0,0,0,0
4459,english,xlm_roberta,xlm-roberta-base,10,11,13,1.1,0.0,0,0,0,0
1214,english,xlm_roberta,xlm-roberta-base,7,8,10,1.1429,0.0,0,0,0,0
6698,english,xlm_roberta,xlm-roberta-base,8,12,14,1.5,0.0,0,0,0,0
5043,english,xlm_roberta,xlm-roberta-base,7,10,12,1.4286,0.0,0,0,0,0
7980,english,xlm_roberta,xlm-roberta-base,7,11,13,1.5714,0.0,0,0,0,0
1413,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
3527,english,xlm_roberta,xlm-roberta-base,12,12,14,1.0,0.0,0,0,0,0
5107,english,xlm_roberta,xlm-roberta-base,12,14,16,1.1667,0.0,0,0,0,0
6822,english,xlm_roberta,xlm-roberta-base,7,10,12,1.4286,0.0,0,0,0,0
2444,english,xlm_roberta,xlm-roberta-base,12,13,15,1.0833,0.0,0,0,0,0
8885,english,xlm_roberta,xlm-roberta-base,13,14,16,1.0769,0.0,0,0,0,0
3325,english,xlm_roberta,xlm-roberta-base,6,8,10,1.3333,0.0,0,0,0,0
3818,english,xlm_roberta,xlm-roberta-base,13,15,17,1.1538,0.0,0,0,0,0
5239,english,xlm_roberta,xlm-roberta-base,11,14,16,1.2727,0.0,0,0,0,0
1256,english,xlm_roberta,xlm-roberta-base,17,19,21,1.1176,0.0,0,0,0,0
3511,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
4908,english,xlm_roberta,xlm-roberta-base,12,16,18,1.3333,0.0,0,0,0,0
9511,english,xlm_roberta,xlm-roberta-base,12,13,15,1.0833,0.0,0,0,0,0
5030,english,xlm_roberta,xlm-roberta-base,11,12,14,1.0909,0.0,0,0,0,0
9379,english,xlm_roberta,xlm-roberta-base,7,10,12,1.4286,0.0,0,0,0,0
5622,english,xlm_roberta,xlm-roberta-base,24,28,30,1.1667,0.0,0,0,0,0
6649,english,xlm_roberta,xlm-roberta-base,21,26,28,1.2381,0.0,0,0,0,0
2983,english,xlm_roberta,xlm-roberta-base,11,13,15,1.1818,0.0,0,0,0,0
2244,english,xlm_roberta,xlm-roberta-base,8,9,11,1.125,0.0,0,0,0,0
3343,english,xlm_roberta,xlm-roberta-base,10,15,17,1.5,0.0,0,0,0,0
3497,english,xlm_roberta,xlm-roberta-base,16,20,22,1.25,0.0,0,0,0,0
1828,english,xlm_roberta,xlm-roberta-base,11,13,15,1.1818,0.0,0,0,0,0
1122,english,xlm_roberta,xlm-roberta-base,7,11,13,1.5714,0.0,0,0,0,0
7709,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
1314,english,xlm_roberta,xlm-roberta-base,10,14,16,1.4,0.0,0,0,0,0
508,english,xlm_roberta,xlm-roberta-base,16,18,20,1.125,0.0,0,0,0,0
3096,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
7512,english,xlm_roberta,xlm-roberta-base,38,45,47,1.1842,0.0,0,0,0,0
4091,english,xlm_roberta,xlm-roberta-base,10,11,13,1.1,0.0,0,0,0,0
1806,english,xlm_roberta,xlm-roberta-base,4,9,11,2.25,0.0,0,0,0,0
4225,english,xlm_roberta,xlm-roberta-base,15,18,20,1.2,0.0,0,0,0,0
6956,english,xlm_roberta,xlm-roberta-base,5,6,8,1.2,0.0,0,0,0,0
8925,english,xlm_roberta,xlm-roberta-base,8,9,11,1.125,0.0,0,0,0,0
5583,english,xlm_roberta,xlm-roberta-base,4,6,8,1.5,0.0,0,0,0,0
6491,english,xlm_roberta,xlm-roberta-base,6,9,11,1.5,0.0,0,0,0,0
3221,english,xlm_roberta,xlm-roberta-base,11,14,16,1.2727,0.0,0,0,0,0
4144,english,xlm_roberta,xlm-roberta-base,7,8,10,1.1429,0.0,0,0,0,0
868,english,xlm_roberta,xlm-roberta-base,11,14,16,1.2727,0.0,0,0,0,0
2925,english,xlm_roberta,xlm-roberta-base,8,10,12,1.25,0.0,0,0,0,0
4567,english,xlm_roberta,xlm-roberta-base,8,10,12,1.25,0.0,0,0,0,0
788,english,xlm_roberta,xlm-roberta-base,20,25,27,1.25,0.0,0,0,0,0
1497,english,xlm_roberta,xlm-roberta-base,44,55,57,1.25,0.0,0,0,0,0
8546,english,xlm_roberta,xlm-roberta-base,4,8,10,2.0,0.0,0,0,0,0
5572,english,xlm_roberta,xlm-roberta-base,7,10,12,1.4286,0.0,0,0,0,0
9748,english,xlm_roberta,xlm-roberta-base,11,12,14,1.0909,0.0,0,0,0,0
9230,english,xlm_roberta,xlm-roberta-base,8,10,12,1.25,0.0,0,0,0,0
9203,english,xlm_roberta,xlm-roberta-base,10,12,14,1.2,0.0,0,0,0,0
2860,english,xlm_roberta,xlm-roberta-base,9,10,12,1.1111,0.0,0,0,0,0
3690,english,xlm_roberta,xlm-roberta-base,11,12,14,1.0909,0.0,0,0,0,0
5693,english,xlm_roberta,xlm-roberta-base,7,9,11,1.2857,0.0,0,0,0,0
4325,english,xlm_roberta,xlm-roberta-base,10,11,13,1.1,0.0,0,0,0,0
3292,english,xlm_roberta,xlm-roberta-base,24,32,34,1.3333,0.0,0,0,0,0
595,english,xlm_roberta,xlm-roberta-base,11,13,15,1.1818,0.0,0,0,0,0
332,english,xlm_roberta,xlm-roberta-base,8,9,11,1.125,0.0,0,0,0,0
208,english,xlm_roberta,xlm-roberta-base,14,16,18,1.1429,0.0,0,0,0,0
899,english,xlm_roberta,xlm-roberta-base,10,13,15,1.3,0.0,0,0,0,0
8487,english,xlm_roberta,xlm-roberta-base,19,23,25,1.2105,0.0,0,0,0,0
3370,english,xlm_roberta,xlm-roberta-base,9,13,15,1.4444,0.0,0,0,0,0
2648,english,xlm_roberta,xlm-roberta-base,41,51,53,1.2439,0.0,0,0,0,0
4400,english,xlm_roberta,xlm-roberta-base,10,14,16,1.4,0.0,0,0,0,0
19,english,xlm_roberta,xlm-roberta-base,20,27,29,1.35,0.0,0,0,0,0
2974,english,xlm_roberta,xlm-roberta-base,15,17,19,1.1333,0.0,0,0,0,0
8413,english,xlm_roberta,xlm-roberta-base,8,10,12,1.25,0.0,0,0,0,0
302,english,xlm_roberta,xlm-roberta-base,10,11,13,1.1,0.0,0,0,0,0
7794,english,xlm_roberta,xlm-roberta-base,8,13,15,1.625,0.0,0,0,0,0
1602,english,xlm_roberta,xlm-roberta-base,9,10,12,1.1111,0.0,0,0,0,0
3081,english,xlm_roberta,xlm-roberta-base,16,18,20,1.125,0.0,0,0,0,0
4235,english,xlm_roberta,xlm-roberta-base,12,13,15,1.0833,0.0,0,0,0,0
5950,english,xlm_roberta,xlm-roberta-base,11,13,15,1.1818,0.0,0,0,0,0
1229,english,xlm_roberta,xlm-roberta-base,12,13,15,1.0833,0.0,0,0,0,0
9368,english,xlm_roberta,xlm-roberta-base,22,26,28,1.1818,0.0,0,0,0,0
1199,english,xlm_roberta,xlm-roberta-base,16,18,20,1.125,0.0,0,0,0,0
9800,english,xlm_roberta,xlm-roberta-base,6,8,10,1.3333,0.0,0,0,0,0
9780,english,xlm_roberta,xlm-roberta-base,8,10,12,1.25,0.0,0,0,0,0
4198,english,xlm_roberta,xlm-roberta-base,9,10,12,1.1111,0.0,0,0,0,0
8878,english,xlm_roberta,xlm-roberta-base,19,28,30,1.4737,0.0,0,0,0,0
834,english,xlm_roberta,xlm-roberta-base,8,9,11,1.125,0.0,0,0,0,0
4832,english,xlm_roberta,xlm-roberta-base,9,11,13,1.2222,0.0,0,0,0,0
3902,english,xlm_roberta,xlm-roberta-base,10,12,14,1.2,0.0,0,0,0,0
7284,english,xlm_roberta,xlm-roberta-base,9,10,12,1.1111,0.0,0,0,0,0
3654,english,xlm_roberta,xlm-roberta-base,7,8,10,1.1429,0.0,0,0,0,0
9076,english,xlm_roberta,xlm-roberta-base,9,11,13,1.2222,0.0,0,0,0,0
6909,english,xlm_roberta,xlm-roberta-base,5,6,8,1.2,0.0,0,0,0,0
1075,english,xlm_roberta,xlm-roberta-base,5,7,9,1.4,0.0,0,0,0,0
1803,english,xlm_roberta,xlm-roberta-base,6,8,10,1.3333,0.0,0,0,0,0
8775,english,xlm_roberta,xlm-roberta-base,11,15,17,1.3636,0.0,0,0,0,0
4563,english,xlm_roberta,xlm-roberta-base,10,13,15,1.3,0.0,0,0,0,0
6418,english,xlm_roberta,xlm-roberta-base,10,13,15,1.3,0.0,0,0,0,0
8091,english,xlm_roberta,xlm-roberta-base,6,7,9,1.1667,0.0,0,0,0,0
2696,english,xlm_roberta,xlm-roberta-base,12,18,20,1.5,0.0,0,0,0,0
5121,english,xlm_roberta,xlm-roberta-base,9,13,15,1.4444,0.0,0,0,0,0
3092,english,xlm_roberta,xlm-roberta-base,8,9,11,1.125,0.0,0,0,0,0
9451,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
2327,english,xlm_roberta,xlm-roberta-base,9,10,12,1.1111,0.0,0,0,0,0
6692,english,xlm_roberta,xlm-roberta-base,13,16,18,1.2308,0.0,0,0,0,0
3835,english,xlm_roberta,xlm-roberta-base,6,7,9,1.1667,0.0,0,0,0,0
8175,english,xlm_roberta,xlm-roberta-base,6,9,11,1.5,0.0,0,0,0,0
1881,english,xlm_roberta,xlm-roberta-base,9,11,13,1.2222,0.0,0,0,0,0
2399,english,xlm_roberta,xlm-roberta-base,11,12,14,1.0909,0.0,0,0,0,0
5440,english,xlm_roberta,xlm-roberta-base,10,11,13,1.1,0.0,0,0,0,0
8323,english,xlm_roberta,xlm-roberta-base,36,40,42,1.1111,0.0,0,0,0,0
6930,english,xlm_roberta,xlm-roberta-base,10,11,13,1.1,0.0,0,0,0,0
8722,english,xlm_roberta,xlm-roberta-base,8,9,11,1.125,0.0,0,0,0,0
6141,english,xlm_roberta,xlm-roberta-base,3,3,5,1.0,0.0,0,0,0,0
8452,english,xlm_roberta,xlm-roberta-base,10,15,17,1.5,0.0,0,0,0,0
6887,english,xlm_roberta,xlm-roberta-base,10,10,12,1.0,0.0,0,0,0,0
7835,english,xlm_roberta,xlm-roberta-base,16,20,22,1.25,0.0,0,0,0,0
2174,english,xlm_roberta,xlm-roberta-base,15,18,20,1.2,0.0,0,0,0,0
6526,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
1430,english,xlm_roberta,xlm-roberta-base,13,15,17,1.1538,0.0,0,0,0,0
7303,english,xlm_roberta,xlm-roberta-base,7,9,11,1.2857,0.0,0,0,0,0
423,english,xlm_roberta,xlm-roberta-base,9,12,14,1.3333,0.0,0,0,0,0
7532,english,xlm_roberta,xlm-roberta-base,5,7,9,1.4,0.0,0,0,0,0
29,english,xlm_roberta,xlm-roberta-base,9,10,12,1.1111,0.0,0,0,0,0
6432,english,xlm_roberta,xlm-roberta-base,10,11,13,1.1,0.0,0,0,0,0
296,english,xlm_roberta,xlm-roberta-base,6,7,9,1.1667,0.0,0,0,0,0
2096,english,xlm_roberta,xlm-roberta-base,6,7,9,1.1667,0.0,0,0,0,0
1821,english,xlm_roberta,xlm-roberta-base,10,13,15,1.3,0.0,0,0,0,0
1712,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
7176,english,xlm_roberta,xlm-roberta-base,30,35,37,1.1667,0.0,0,0,0,0
8954,english,xlm_roberta,xlm-roberta-base,9,10,12,1.1111,0.0,0,0,0,0
8293,english,xlm_roberta,xlm-roberta-base,33,40,42,1.2121,0.0,0,0,0,0
4005,english,xlm_roberta,xlm-roberta-base,5,7,9,1.4,0.0,0,0,0,0
9680,english,xlm_roberta,xlm-roberta-base,10,11,13,1.1,0.0,0,0,0,0
7137,english,xlm_roberta,xlm-roberta-base,7,10,12,1.4286,0.0,0,0,0,0
4024,english,xlm_roberta,xlm-roberta-base,9,10,12,1.1111,0.0,0,0,0,0
9320,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
1243,english,xlm_roberta,xlm-roberta-base,6,9,11,1.5,0.0,0,0,0,0
9663,english,xlm_roberta,xlm-roberta-base,17,19,21,1.1176,0.0,0,0,0,0
3567,english,xlm_roberta,xlm-roberta-base,14,17,19,1.2143,0.0,0,0,0,0
