Tokenizer,Model_ID,Language,Samples,Mean_Length,Median_Length,P90_Length,P95_Length,P99_Length,Max_Length,Mean_Fragmentation,Unknown_Token_Rate_Pct,Pct_Over_64,Pct_Over_128,Pct_Over_256,Pct_Over_512
xlm_roberta,xlm-roberta-base,english,1000,16.9,14.0,28.0,38.0,53.0,93,1.25,0.0,0.5,0.0,0.0,0.0
xlm_roberta,xlm-roberta-base,singlish,1000,21.1,18.0,34.0,43.0,62.0,108,1.94,0.0,0.6,0.0,0.0,0.0
xlm_roberta,xlm-roberta-base,sinhala,1000,16.2,14.0,26.0,32.0,47.0,87,1.45,0.0,0.3,0.0,0.0,0.0
xlm_roberta,xlm-roberta-base,tamil,1000,21.5,18.0,35.0,45.0,68.0,116,2.17,0.0,1.2,0.0,0.0,0.0
xlm_roberta,xlm-roberta-base,tamilish,1000,22.9,19.0,38.0,51.0,72.0,123,2.14,0.0,2.0,0.0,0.0,0.0
mbert,bert-base-multilingual-cased,english,1000,16.9,14.0,28.0,38.0,53.0,93,1.25,0.0,0.5,0.0,0.0,0.0
mbert,bert-base-multilingual-cased,singlish,1000,21.9,19.0,36.0,45.0,62.0,110,2.03,0.0,0.9,0.0,0.0,0.0
mbert,bert-base-multilingual-cased,sinhala,1000,14.1,12.0,22.1,28.0,39.0,79,1.23,60.317,0.4,0.0,0.0,0.0
mbert,bert-base-multilingual-cased,tamil,1000,34.1,28.0,57.0,74.0,115.0,193,3.52,0.0,7.6,0.7,0.0,0.0
mbert,bert-base-multilingual-cased,tamilish,1000,24.6,20.0,42.0,54.0,79.0,132,2.31,0.0,2.6,0.1,0.0,0.0
indicbert,ai4bharat/IndicBERTv2-MLM-only,english,1000,16.1,13.0,27.0,36.0,50.0,89,1.17,0.0,0.5,0.0,0.0,0.0
indicbert,ai4bharat/IndicBERTv2-MLM-only,singlish,1000,20.5,17.0,34.0,41.0,60.0,105,1.87,0.0,0.8,0.0,0.0,0.0
indicbert,ai4bharat/IndicBERTv2-MLM-only,sinhala,1000,37.6,32.0,63.0,81.0,113.0,170,3.6,0.603,9.6,0.7,0.0,0.0
indicbert,ai4bharat/IndicBERTv2-MLM-only,tamil,1000,16.2,14.0,26.0,33.0,53.0,84,1.56,0.0,0.5,0.0,0.0,0.0
indicbert,ai4bharat/IndicBERTv2-MLM-only,tamilish,1000,21.8,18.0,37.0,48.0,71.0,118,2.02,0.0,1.7,0.0,0.0,0.0
